epoch,train_loss,valid_loss,accuracy_multi,time
0,0.5573047399520874,0.5509692430496216,0.9077946543693542,02:38
1,0.5528500080108643,0.5507969856262207,0.8995568752288818,02:37
2,0.542845606803894,0.5383417010307312,0.9080502390861511,02:37
3,0.529056966304779,0.5302250385284424,0.897262454032898,02:37
4,0.5176109671592712,0.5333077311515808,0.903500497341156,02:41
5,0.5099547505378723,0.5304430723190308,0.8991604447364807,02:39
6,0.49775615334510803,0.5280487537384033,0.8987011313438416,02:38
